asin,coupon,page_num,position_num,price_initial,price_true,rate,reviews,sellername,title
B07CKYP8LX,False,2,42,,$69.90,5,1,"by ,Abakan,FREE Shipping on eligible orders",Abakan California King Superior Double-Sided Mattress Pad Cover， Stretches up to 8-21 Inches Deep， Down Alternative Quilted Cooling White mattress Topper
B00LM4I1R2,False,2,43,$37.99,$31.75,4.5,61,"by ,Superior,More Buying Choices,FREE Shipping on eligible orders","Superior King Size Premium 100% Waterproof Mattress Protector Pad - 100% Cotton Terry Surface, Hypoallergenic, Deep Pocket Skirt Fits Up to 22"" Mattress, 15-Year Warranty"
B073GTG3Y9,False,2,44,,$20.25,4.6,34,"by ,Milddreams,FREE Shipping on eligible orders","Milddreams Queen Mattress Pad Protector Cover Topper - Queen Size Bed Pad (60x80 inches + Deep Pocket 16"")- Fitted Quilted Mattress Cover"
B07CB48PHM,True,2,45,,$49.90,,,"by ,HARNY,More Buying Choices,<span class=""a-color-secondary"">FREE Shipping on eligible orders",HARNY Mattress Pad Cover Queen Size Summer Cooling Breathable Mattress Topper 400TC Cotton Top Quilted Pillowtop with 8-21”Deep Pocket
B01LY5JKRZ,False,2,46,,$35.99,4.6,53,"by ,downluxe,More Buying Choices,FREE Shipping on eligible orders","downluxe Down Alternative Fitted Mattress Pad (Full,White) - 500TC 100% Egyptian Cotton Cover Stretches up to 18 Inches Deep - Hypoallergenic"
B07BK24BJ2,False,2,47,,$29.00,,,"by ,Favorland,FREE Shipping on eligible orders","Mattress Pad Cover Queen Size- Hypoallergenic Quilted Fitted Down Alternative Filled Pillowtop Luxury Mattress Topper,Cooling,Breathable and Soft with Deep Pocket for Hotel and Home"
B07BVVWYHF,False,2,48,,$47.95,4.6,50,"by ,Everest Supply,FREE Shipping on eligible orders","Everest Premium Plus Mattress Pad HypoallergenicQuilted Mattress Topper, Deep Pocket, Stretch to Fit, Microfiber,Extra Plush (Compressed 15oz. Polyester, RV-Short Queen (60"" x 75"" + 18"" depth) 15oz)"
B0753LXJG8,False,2,49,,$26.99,4.6,146,"by ,Sleep Restoration,FREE Shipping on eligible orders",Sleep Restoration Fitted Microfiber Mattress Pad Cover - Plush Quilted Luxurious Mattress Topper - Full
B00W77W5XE,False,2,50,,$46.69,4.4,,"by ,puredown,Save more with monthly Subscribe &amp; Save deliveries.,FREE Shipping on eligible orders",puredown Down Alternative Mattress Pad/Topper Fitted Quilted 100% Cotton Top and Bottom Queen
B0756ZXLQV,True,2,51,,$51.34,4.3,,"by ,Jurlyne,FREE Shipping on eligible orders","<span class=""a-offscreen"">[Sponsored]</span>Pillowtop Mattress Pad Cover Full Size - Hypoallergenic - Cotton Down Alternative Filled Mattress Topper"
B0087ZHTSQ,False,2,52,,$21.47,3.3,,"by ,Bedsack,FREE Shipping on eligible orders","<span class=""a-offscreen"">[Sponsored]</span>Bedsack Classic Mattress Pad Twin XL, White"
B07F9QQM51,False,2,53,,$39.90,4.4,,"by ,Oaskys,FREE Shipping on eligible orders","<span class=""a-offscreen"">[Sponsored]</span>Oaskys Mattress Pads cover queen size Hypoallergenic Quilted Fitted with deep pocket cooling and breathable for hotel"
